"idProposicao";"uriProposicao";"idDeputadoAutor";"uriAutor";"codTipoAutor";"tipoAutor";"nomeAutor";"siglaPartidoAutor";"uriPartidoAutor";"siglaUFAutor";"ordemAssinatura";"proponente"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204520";"https://dadosabertos.camara.leg.br/api/v2/deputados/204520";"10000";"Deputado";"Junio Amaral";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"MG";"8";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204455";"https://dadosabertos.camara.leg.br/api/v2/deputados/204455";"10000";"Deputado";"Luiz Lima";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RJ";"2";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204460";"https://dadosabertos.camara.leg.br/api/v2/deputados/204460";"10000";"Deputado";"Carlos Jordy";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RJ";"61";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204526";"https://dadosabertos.camara.leg.br/api/v2/deputados/204526";"10000";"Deputado";"Luiz Philippe de Orleans e Bragança";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"SP";"6";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204374";"https://dadosabertos.camara.leg.br/api/v2/deputados/204374";"10000";"Deputado";"Bia Kicis";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"DF";"69";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204472";"https://dadosabertos.camara.leg.br/api/v2/deputados/204472";"10000";"Deputado";"José Medeiros";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"MT";"20";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204473";"https://dadosabertos.camara.leg.br/api/v2/deputados/204473";"10000";"Deputado";"General Girão";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RN";"32";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204416";"https://dadosabertos.camara.leg.br/api/v2/deputados/204416";"10000";"Deputado";"Sanderson";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RS";"1";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204419";"https://dadosabertos.camara.leg.br/api/v2/deputados/204419";"10000";"Deputado";"Glaustin da Fokus";"PSC";"https://dadosabertos.camara.leg.br/api/v2/partidos/36833";"GO";"23";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204572";"https://dadosabertos.camara.leg.br/api/v2/deputados/204572";"10000";"Deputado";"Capitão Alberto Neto";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"AM";"41";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204378";"https://dadosabertos.camara.leg.br/api/v2/deputados/204378";"10000";"Deputado";"Coronel Chrisóstomo";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RO";"44";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204479";"https://dadosabertos.camara.leg.br/api/v2/deputados/204479";"10000";"Deputado";"Nicoletti";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"RR";"26";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204388";"https://dadosabertos.camara.leg.br/api/v2/deputados/204388";"10000";"Deputado";"Bibo Nunes";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RS";"66";"1"
"2347271";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347271";"220538";"https://dadosabertos.camara.leg.br/api/v2/deputados/220538";"10000";"Deputado";"Albuquerque";"REPUBLIC";"";"RR";"4";"0"
"2347271";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347271";"220648";"https://dadosabertos.camara.leg.br/api/v2/deputados/220648";"10000";"Deputado";"Marangoni";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"SP";"10";"0"
